date,interest,keyword
2020-10-01,67,Warzone
2020-11-01,65,Warzone
2020-12-01,69,Warzone
2021-01-01,82,Warzone
2021-02-01,83,Warzone
2021-03-01,70,Warzone
2021-04-01,87,Warzone
2021-05-01,62,Warzone
2021-06-01,60,Warzone
2021-07-01,56,Warzone
2021-08-01,52,Warzone
2021-09-01,41,Warzone
2021-10-01,41,Warzone
2021-11-01,36,Warzone
2021-12-01,56,Warzone
2022-01-01,41,Warzone
2022-02-01,40,Warzone
2022-03-01,35,Warzone
2022-04-01,39,Warzone
2022-05-01,39,Warzone
2022-06-01,36,Warzone
2022-07-01,33,Warzone
2022-08-01,39,Warzone
2022-09-01,40,Warzone
2022-10-01,35,Warzone
2022-11-01,98,Warzone
2022-12-01,51,Warzone
2023-01-01,36,Warzone
2023-02-01,35,Warzone
2023-03-01,26,Warzone
2023-04-01,27,Warzone
2023-05-01,23,Warzone
2023-06-01,24,Warzone
2023-07-01,25,Warzone
2023-08-01,25,Warzone
2023-09-01,22,Warzone
2023-10-01,23,Warzone
2023-11-01,20,Warzone
2023-12-01,36,Warzone
2024-01-01,32,Warzone
2024-02-01,32,Warzone
2024-03-01,51,Warzone
2024-04-01,36,Warzone
2024-05-01,26,Warzone
2024-06-01,28,Warzone
2024-07-01,25,Warzone
2024-08-01,24,Warzone
2024-09-01,22,Warzone
2024-10-01,20,Warzone
2024-11-01,28,Warzone
2024-12-01,18,Warzone
2025-01-01,17,Warzone
2025-02-01,17,Warzone
2025-03-01,16,Warzone
2025-04-01,34,Warzone
2025-05-01,30,Warzone
2025-06-01,25,Warzone
2025-07-01,25,Warzone
2025-08-01,25,Warzone
2025-09-01,21,Warzone
2025-10-01,21,Warzone
2025-11-01,19,Warzone
2025-12-01,23,Warzone
2026-01-01,19,Warzone
2026-02-01,18,Warzone
2026-03-01,20,Warzone
2026-04-01,19,Warzone
2026-05-01,15,Warzone
2004-01-01,0,Black Ops
2004-02-01,0,Black Ops
2004-03-01,0,Black Ops
2004-04-01,0,Black Ops
2004-05-01,0,Black Ops
2004-06-01,0,Black Ops
2004-07-01,0,Black Ops
2004-08-01,0,Black Ops
2004-09-01,0,Black Ops
2004-10-01,0,Black Ops
2004-11-01,0,Black Ops
2004-12-01,0,Black Ops
2005-01-01,0,Black Ops
2005-02-01,0,Black Ops
2005-03-01,0,Black Ops
2005-04-01,0,Black Ops
2005-05-01,0,Black Ops
2005-06-01,0,Black Ops
2005-07-01,0,Black Ops
2005-08-01,0,Black Ops
2005-09-01,0,Black Ops
2005-10-01,0,Black Ops
